Key,File,Type,english,schinese,tchinese
biome_burnt_forest,biomes,biome,Burnt Forest,焦土,焦土
biome_snow,biomes,biome,Snow,雪地,雪地
aaa_armor_testing,POI,POIName,Armor Testing,护甲测试点,護甲測試點
aaa_trigger_test,POI,POIName,Trigger Test,触发器测试点,觸發器測試點
abandoned_house_01,POI,POIName,The MeMaw Residence,米玛姥姥宅邸,米瑪姥姥宅邸
abandoned_house_02,POI,POIName,Jack & Sally's Getaway,杰克与莎莉的幽居,傑克與莎莉的幽居
abandoned_house_03,POI,POIName,Luke's Vacation Rental,卢克度假屋,盧克度假屋
abandoned_house_04,POI,POIName,The Mimzy Residence,米姆西宅邸,米姆西宅邸
abandoned_house_05,POI,POIName,The Papaw Residence,帕普姥爷宅邸,帕普姥爺宅邸
abandoned_house_06,POI,POIName,Sal's Safehouse,萨尔的安全屋,薩爾的安全屋
abandoned_house_07,POI,POIName,The Clement Residence,克莱门特宅邸,克萊門特宅邸
abandoned_house_08,POI,POIName,The Rupert Residence,鲁伯特宅邸,魯伯特宅邸
abandoned_house_09,POI,POIName,The Dickens Retreat,狄更斯静居,狄更斯靜居
abandoned_house_10,POI,POIName,K. Reeves Place,K·里维斯宅邸,K·裡維斯宅邸
apartments_01,POI,POIName,Good Life Apartments,美好生活公寓,美好生活公寓
apartments_02,POI,POIName,Vanity Tower,虚荣之塔,虛榮之塔
apartments_03,POI,POIName,The Bend Apartments,本德公寓,本德公寓
apartments_04,POI,POIName,The Budget Burrows,经济穴居公寓,經濟穴居公寓
apartments_05,POI,POIName,Slummit Apartments,贫民峰公寓,貧民峰公寓
apartments_06,POI,POIName,Two Bit Tower,双子塔,雙子塔
army_camp_01,POI,POIName,Fort Camo,卡莫堡,卡莫堡
army_camp_02,POI,POIName,Fort Bags,巴格斯堡,巴格斯堡
army_camp_03,POI,POIName,Fort Quonset,匡塞特堡,匡塞特堡
army_camp_04,POI,POIName,Fort Razor,剃刀堡,剃刀堡
army_camp_05,POI,POIName,Fort Choppa,斩切者堡,斬切者堡
army_camp_06,POI,POIName,Goldrush Station,淘金热哨站,淘金熱哨站
army_camp_07,POI,POIName,Installation Blue Ridge,蓝岭军事基地,藍嶺軍事基地
auto_mechanic_01,POI,POIName,A1 Auto,A1车行,A1車行
